Date : 2025-09-30 14:24:55
Directory : /Users/hum/StudioProjects/budgetm
Total : 96 files,  15324 codes, 522 comments, 939 blanks, all 16785 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         54 |     14,559 |        380 |        785 |     15,724 |
| Markdown   |         13 |        351 |          0 |         96 |        447 |
| XML        |         13 |        193 |         53 |         13 |        259 |
| JSON       |          5 |         92 |          0 |          2 |         94 |
| YAML       |          5 |         70 |         84 |         24 |        178 |
| Ruby       |          1 |         31 |          3 |         10 |         44 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         96 |     15,324 |        522 |        939 |     16,785 |
| . (Files)                                                                                                        |          9 |        254 |         84 |         77 |        415 |
| .roo                                                                                                             |          4 |         22 |          0 |          0 |         22 |
| .roo/rules-architect                                                                                             |          1 |          6 |          0 |          0 |          6 |
| .roo/rules-ask                                                                                                   |          1 |          5 |          0 |          0 |          5 |
| .roo/rules-code                                                                                                  |          1 |          7 |          0 |          0 |          7 |
| .roo/rules-debug                                                                                                 |          1 |          4 |          0 |          0 |          4 |
| android                                                                                                          |         14 |        179 |         51 |         13 |        243 |
| android (Files)                                                                                                  |          1 |          3 |          0 |          1 |          4 |
| android/app                                                                                                      |         12 |        171 |         51 |         11 |        233 |
| android/app (Files)                                                                                              |          1 |         46 |          0 |          0 |         46 |
| android/app/src                                                                                                  |         11 |        125 |         51 |         11 |        187 |
| android/app/src/debug                                                                                            |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                             |          9 |        119 |         43 |          9 |        171 |
| android/app/src/main (Files)                                                                                     |          1 |         36 |         11 |          2 |         49 |
| android/app/src/main/res                                                                                         |          8 |         83 |         32 |          7 |        122 |
| android/app/src/main/res/drawable                                                                                |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/drawable-v21                                                                            |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/mipmap-anydpi-v26                                                                       |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/values                                                                                  |          2 |         17 |          9 |          1 |         27 |
| android/app/src/main/res/values-night                                                                            |          1 |         13 |          9 |          1 |         23 |
| android/app/src/main/res/values-night-v31                                                                        |          1 |         13 |          7 |          1 |         21 |
| android/app/src/main/res/values-v31                                                                              |          1 |         13 |          7 |          1 |         21 |
| android/app/src/profile                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                           |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                              |         10 |        167 |          7 |         23 |        197 |
| ios (Files)                                                                                                      |          1 |         31 |          3 |         10 |         44 |
| ios/Runner                                                                                                       |          8 |        129 |          2 |          9 |        140 |
| ios/Runner (Files)                                                                                               |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                       |          4 |         48 |          0 |          4 |         52 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                    |          1 |          1 |          0 |          0 |          1 |
| ios/Runner/Assets.xcassets/LaunchBackground.imageset                                                             |          1 |         21 |          0 |          1 |         22 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                  |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                            |          2 |         68 |          2 |          2 |         72 |
| ios/RunnerTests                                                                                                  |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                              |         54 |     14,559 |        380 |        785 |     15,724 |
| lib (Files)                                                                                                      |          3 |        219 |         33 |         39 |        291 |
| lib/constants                                                                                                    |          3 |         28 |          1 |          3 |         32 |
| lib/data                                                                                                         |          1 |         43 |          6 |          9 |         58 |
| lib/data/local                                                                                                   |          1 |         43 |          6 |          9 |         58 |
| lib/models                                                                                                       |          8 |        719 |         18 |         57 |        794 |
| lib/screens                                                                                                      |         31 |     12,384 |        217 |        530 |     13,131 |
| lib/screens/auth                                                                                                 |          5 |      1,798 |         49 |         68 |      1,915 |
